source,target,interactions,movie
OBI-WAN,ANAKIN,28,Episode 3
R2-D2,OBI-WAN,15,Episode 3
R2-D2,ANAKIN,13,Episode 3
ODD BALL,OBI-WAN,2,Episode 3
ODD BALL,ANAKIN,2,Episode 3
ODD BALL,R2-D2,1,Episode 3
EMPEROR,COUNT DOOKU,1,Episode 3
EMPEROR,OBI-WAN,3,Episode 3
EMPEROR,ANAKIN,14,Episode 3
COUNT DOOKU,OBI-WAN,1,Episode 3
COUNT DOOKU,ANAKIN,1,Episode 3
EMPEROR,R2-D2,1,Episode 3
GENERAL GRIEVOUS,R2-D2,1,Episode 3
GENERAL GRIEVOUS,OBI-WAN,2,Episode 3
GENERAL GRIEVOUS,ANAKIN,1,Episode 3
OBI-WAN,EMPEROR,1,Episode 3
OBI-WAN,BAIL ORGANA,1,Episode 3
OBI-WAN,C-3PO,3,Episode 3
EMPEROR,BAIL ORGANA,1,Episode 3
EMPEROR,C-3PO,2,Episode 3
BAIL ORGANA,C-3PO,3,Episode 3
BAIL ORGANA,ANAKIN,2,Episode 3
C-3PO,ANAKIN,4,Episode 3
PADME,BAIL ORGANA,2,Episode 3
PADME,ANAKIN,9,Episode 3
YODA,ANAKIN,5,Episode 3
GIDDEAN DANU,FANG ZAR,1,Episode 3
GIDDEAN DANU,MON MOTHMA,1,Episode 3
GIDDEAN DANU,BAIL ORGANA,1,Episode 3
GIDDEAN DANU,PADME,1,Episode 3
FANG ZAR,MON MOTHMA,1,Episode 3
FANG ZAR,BAIL ORGANA,1,Episode 3
FANG ZAR,PADME,1,Episode 3
MON MOTHMA,BAIL ORGANA,2,Episode 3
MON MOTHMA,PADME,2,Episode 3
BAIL ORGANA,PADME,3,Episode 3
MACE WINDU,YODA,3,Episode 3
MACE WINDU,OBI-WAN,3,Episode 3
MACE WINDU,ANAKIN,5,Episode 3
YODA,OBI-WAN,10,Episode 3
YODA,MACE WINDU,1,Episode 3
CAPTAIN TYPHO,PADME,2,Episode 3
CAPTAIN TYPHO,C-3PO,2,Episode 3
CAPTAIN TYPHO,ANAKIN,1,Episode 3
PADME,C-3PO,5,Episode 3
CLONE COMMANDER GREE,YODA,1,Episode 3
PADME,OBI-WAN,6,Episode 3
MON MOTHMA,FANG ZAR,1,Episode 3
PADME,FANG ZAR,1,Episode 3
BAIL ORGANA,FANG ZAR,1,Episode 3
CLONE COMMANDER CODY,OBI-WAN,2,Episode 3
JAR JAR,EMPEROR,1,Episode 3
JAR JAR,ANAKIN,1,Episode 3
TION MEDON,OBI-WAN,1,Episode 3
GENERAL GRIEVOUS,NUTE GUNRAY,1,Episode 3
PADME,EMPEROR,4,Episode 3
MACE WINDU,CLONE COMMANDER CODY,1,Episode 3
CLONE COMMANDER CODY,YODA,1,Episode 3
CLONE COMMANDER CODY,ANAKIN,1,Episode 3
MACE WINDU,EMPEROR,1,Episode 3
YODA,CHEWBACCA,2,Episode 3
CAPTAIN ANTILLES,BAIL ORGANA,2,Episode 3
BAIL ORGANA,OBI-WAN,6,Episode 3
R2-D2,PADME,1,Episode 3
R2-D2,C-3PO,1,Episode 3
YODA,BAIL ORGANA,2,Episode 3
NUTE GUNRAY,EMPEROR,1,Episode 3
BAIL ORGANA,EMPEROR,2,Episode 3
BAIL ORGANA,YODA,4,Episode 3
BAIL ORGANA,QUI-GON,1,Episode 3
YODA,QUI-GON,1,Episode 3
OBI-WAN,YODA,1,Episode 3
C-3PO,YODA,1,Episode 3
DARTH VADER,EMPEROR,1,Episode 3
CAPTAIN ANTILLES,C-3PO,1,Episode 3
